text,sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized
I belong to the SC category. I want an education loan for BCA. My annual family income is 495853 rupees and I need around 225134 rupees.,Yes,495853,Education,NA,225134,225134,Graduate,BCA,medical,Yes
I do not belong to the SC category. My family income is Rs 325464 and I need a loan for a grocery shop.,No,325464,Business,grocery shop,204815,154815,NA,NA,NA,NA
My family earns around Rs 370106 per year. I belong to the SC community and want to start a service business. I need around 1.4 lakhs.,Yes,370106,Business,service business,191660,137016,NA,NA,NA,NA
"I need a loan to study engineering. I am an SC student, my income is 486861 rupees, and the course fee is 2822828 rupees.",Yes,486861,Education,NA,2822828,765120,Postgraduate,engineering,management,Yes
I belong to Scheduled Caste and want to start a small service business. My income is ₹330786 and the project will cost about 408230 rupees.,Yes,330786,Business,service business,408230,366169,NA,NA,NA,NA
I am an SC student and my family income is 3.7 lakh. I want to study law. My course fee is 15.7 lakhs and I need a loan of ₹1536184.,Yes,368805,Education,NA,1568523,1536184,Postgraduate,law,technical,Yes
"I need a loan to study pharmacy. I am an SC student, my income is Rs 378721, and the course fee is 2563869 rupees.",Yes,378721,Education,NA,2563869,1456386,12th,pharmacy,management,Yes
I am from SC category and want financial help for my poultry. The total project cost is 3.4 lakhs and I need Rs 269369 as loan. My annual income is ₹361255.,Yes,361255,Business,poultry,342054,269369,NA,NA,NA,NA
I am an SC student and my family income is 1.9 lakh. I want to study nursing. My course fee is 495042 rupees and I need a loan of 495042 rupees.,Yes,191049,Education,NA,495042,495042,12th,nursing,management,Yes
My family earns around 1.1 lakh per year. I belong to the SC community and want to start a service business. I need around 4.5 lakh.,Yes,114675,Business,service business,463550,447669,NA,NA,NA,NA
My family earns around 2.4 lakh per year. I belong to the SC community and want to start a small manufacturing. I need around 1.0 lakhs.,Yes,235576,Business,small manufacturing,180822,103774,NA,NA,NA,NA
I do not belong to the SC category. My family income is 317205 rupees and I need a loan for a poultry.,No,317205,Business,poultry,442607,392607,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small food business. My income is 2.9 lakh and the project will cost about 3.6 lakhs.,Yes,292856,Business,food business,361801,287145,NA,NA,NA,NA
I am an SC student and my family income is 3.4 lakh. I want to study MCA. My course fee is 11.7 lakhs and I need a loan of Rs 167702.,Yes,342168,Education,NA,1165946,167702,Postgraduate,MCA,professional,Yes
I am from SC category and want financial help for my small manufacturing. The total project cost is Rs 283719 and I need 2.3 lakhs as loan. My annual income is ₹488098.,Yes,488098,Business,small manufacturing,283719,225497,NA,NA,NA,NA
I do not belong to the SC category. My family income is 344385 rupees and I need a loan for a repair shop.,No,344385,Business,repair shop,114366,64366,NA,NA,NA,NA
I am an SC student and my family income is ₹408565. I want to study engineering. My course fee is ₹2241546 and I need a loan of 4.2 lakhs.,Yes,408565,Education,NA,2241546,417070,Postgraduate,engineering,management,Yes
I want to open a grocery shop. I am an SC beneficiary and my yearly family income is ₹228850. I require about 2.1 lakhs.,Yes,228850,Business,grocery shop,256268,208996,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small repair shop. My income is 2.2 lakh and the project will cost about 482861 rupees.,Yes,221993,Business,repair shop,482861,434891,NA,NA,NA,NA
I am from SC category and want financial help for my service business. The total project cost is Rs 149797 and I need 1.3 lakh as loan. My annual income is ₹318219.,Yes,318219,Business,service business,149797,130570,NA,NA,NA,NA
I am from SC category and want financial help for my repair shop. The total project cost is 5.3 lakh and I need 4.3 lakh as loan. My annual income is 2.8 lakhs.,Yes,278633,Business,repair shop,531440,432972,NA,NA,NA,NA
I belong to the SC category. I want an education loan for MCA. My annual family income is 1.4 lakh and I need around 1065328 rupees.,Yes,139532,Education,NA,1754045,1065328,12th,MCA,professional,Yes
My category is not SC. I want to start a repair shop business.,No,227727,Business,repair shop,372935,322935,NA,NA,NA,NA
I want to open a tailoring. I am an SC beneficiary and my yearly family income is Rs 328563. I require about ₹119370.,Yes,328563,Business,tailoring,214222,119370,NA,NA,NA,NA
My family earns around ₹167746 per year. I belong to the SC community and want to start a poultry. I need around Rs 264614.,Yes,167746,Business,poultry,337769,264614,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a repair shop and need Rs 149377.,No,227698,Business,repair shop,199377,149377,NA,NA,NA,NA
My family earns around Rs 269353 per year. I belong to the SC community and want to start a repair shop. I need around Rs 269946.,Yes,269353,Business,repair shop,363340,269946,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my pharmacy course. My family income is 134281 rupees and I require ₹1490627.,Yes,134281,Education,NA,3488969,1490627,Graduate,pharmacy,medical,Yes
I want to open a small manufacturing. I am an SC beneficiary and my yearly family income is Rs 428241. I require about 354307 rupees.,Yes,428241,Business,small manufacturing,433153,354307,NA,NA,NA,NA
My category is not SC. I want to start a tailoring business.,No,338549,Business,tailoring,218909,168909,NA,NA,NA,NA
I am from SC category and want financial help for my service business. The total project cost is 397234 rupees and I need ₹359348 as loan. My annual income is 2.9 lakhs.,Yes,292407,Business,service business,397234,359348,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹247424. I want to start a grocery shop business and need a loan of 184232 rupees.,Yes,247424,Business,grocery shop,228648,184232,NA,NA,NA,NA
I belong to the SC category. I want an education loan for engineering. My annual family income is 216347 rupees and I need around 277278 rupees.,Yes,216347,Education,NA,277278,277278,12th,engineering,technical,Yes
I belong to the SC category. I want an education loan for BCA. My annual family income is 414030 rupees and I need around 1448614 rupees.,Yes,414030,Education,NA,2641096,1448614,Graduate,BCA,management,Yes
I do not belong to the SC category. My family income is 137800 rupees and I need a loan for a computer centre.,No,137800,Business,computer centre,403124,353124,NA,NA,NA,NA
"I need a loan to study BCA. I am an SC student, my income is 3.3 lakh, and the course fee is 3416905 rupees.",Yes,332099,Education,NA,3416905,3247117,Postgraduate,BCA,professional,Yes
I belong to the SC category. I want an education loan for MCA. My annual family income is 401169 rupees and I need around ₹309918.,Yes,401169,Education,NA,309918,309918,Graduate,MCA,medical,Yes
I am from Scheduled Caste and want financial assistance for my pharmacy course. My family income is Rs 253794 and I require Rs 2218995.,Yes,253794,Education,NA,2355836,2218995,Postgraduate,pharmacy,medical,Yes
"I need a loan to study nursing. I am an SC student, my income is ₹138188, and the course fee is 27.9 lakh.",Yes,138188,Education,NA,2789958,1067963,12th,nursing,medical,Yes
My family earns around 3.3 lakhs per year. I belong to the SC community and want to start a repair shop. I need around ₹270635.,Yes,325847,Business,repair shop,357392,270635,NA,NA,NA,NA
"I need a loan to study law. I am an SC student, my income is 266569 rupees, and the course fee is Rs 2602860.",Yes,266569,Education,NA,2602860,2602860,Graduate,law,medical,Yes
"My family earns 218619 rupees per year. I am an SC beneficiary and want to pursue law, which is a technical course. The fee is 8.5 lakhs.",Yes,218619,Education,NA,851987,851987,Postgraduate,law,technical,Yes
I am not from Scheduled Caste and want financial assistance for my repair shop.,No,269021,Business,repair shop,378673,328673,NA,NA,NA,NA
I want to open a transport. I am an SC beneficiary and my yearly family income is 3.2 lakhs. I require about 361214 rupees.,Yes,321532,Business,transport,422865,361214,NA,NA,NA,NA
My category is not SC. I want to start a grocery shop business.,No,360480,Business,grocery shop,402715,352715,NA,NA,NA,NA
I belong to the SC category. I want an education loan for MCA. My annual family income is ₹243231 and I need around Rs 1477780.,Yes,243231,Education,NA,2555352,1477780,Graduate,MCA,technical,Yes
I am not an SC beneficiary. I want to start a food business and need 3.0 lakhs.,No,430202,Business,food business,352268,302268,NA,NA,NA,NA
"I need a loan to study MCA. I am an SC student, my income is 4.6 lakhs, and the course fee is Rs 2014791.",Yes,457031,Education,NA,2014791,1876725,Graduate,MCA,medical,Yes
My family earns around 153431 rupees per year. I belong to the SC community and want to start a fisheries. I need around ₹254912.,Yes,153431,Business,fisheries,334153,254912,NA,NA,NA,NA
"I need a loan to study MBA. I am an SC student, my income is Rs 479351, and the course fee is 27.1 lakhs.",Yes,479351,Education,NA,2714418,507860,Graduate,MBA,professional,Yes
I want to open a fisheries. I am an SC beneficiary and my yearly family income is 4.3 lakhs. I require about 93090 rupees.,Yes,425615,Business,fisheries,115514,93090,NA,NA,NA,NA
I want to open a service business. I am an SC beneficiary and my yearly family income is 2.1 lakh. I require about ₹139797.,Yes,208358,Business,service business,159134,139797,NA,NA,NA,NA
I am an SC student and my family income is 3.8 lakh. I want to study engineering. My course fee is ₹1184173 and I need a loan of Rs 660550.,Yes,381613,Education,NA,1184173,660550,Graduate,engineering,professional,Yes
"I need a loan to study BCA. I am an SC student, my income is Rs 415166, and the course fee is 637022 rupees.",Yes,415166,Education,NA,637022,637022,Graduate,BCA,professional,Yes
"I need a loan to study MCA. I am an SC student, my income is 1.0 lakhs, and the course fee is 1722791 rupees.",Yes,104817,Education,NA,1722791,1495044,12th,MCA,professional,Yes
I am from Scheduled Caste and want financial assistance for my medical course. My family income is 4.0 lakhs and I require 14.2 lakhs.,Yes,399313,Education,NA,3439800,1416975,Postgraduate,medical,technical,Yes
I am an SC beneficiary. My family income is 4.9 lakhs. I want to start a service business business and need a loan of ₹196421.,Yes,490600,Business,service business,267029,196421,NA,NA,NA,NA
I am from SC category and want financial help for my small manufacturing. The total project cost is Rs 299118 and I need 2.3 lakh as loan. My annual income is ₹215563.,Yes,215563,Business,small manufacturing,299118,234080,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my MCA course. My family income is 3.2 lakhs and I require 2.1 lakhs.,Yes,320709,Education,NA,2108018,211520,Graduate,MCA,technical,Yes
I am not an SC beneficiary. I want to start a computer centre and need 103145 rupees.,No,111273,Business,computer centre,153145,103145,NA,NA,NA,NA
I belong to the SC category. I want an education loan for MCA. My annual family income is 301606 rupees and I need around 92531 rupees.,Yes,301606,Education,NA,1331058,92531,Graduate,MCA,management,Yes
My family earns around 2.1 lakh per year. I belong to the SC community and want to start a small manufacturing. I need around 1.1 lakh.,Yes,210005,Business,small manufacturing,205525,105782,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small repair shop. My income is 1.8 lakhs and the project will cost about 1.8 lakh.,Yes,179514,Business,repair shop,183646,114046,NA,NA,NA,NA
"My family earns 3.8 lakh per year. I am an SC beneficiary and want to pursue MCA, which is a professional course. The fee is 19.6 lakh.",Yes,383194,Education,NA,1956801,1956801,Graduate,MCA,professional,Yes
I am from SC category and want financial help for my repair shop. The total project cost is 256545 rupees and I need 2.2 lakh as loan. My annual income is Rs 172734.,Yes,172734,Business,repair shop,256545,216681,NA,NA,NA,NA
